Combination,Weight1,Weight2,10-Year Return
QQQ-SPY,0,10,362.3048006
QQQ-SPY,0,10,334.4764196
QQQ-SPY,0,10,311.3587185
QQQ-SPY,0,10,263.8571227
QQQ-SPY,0,10,289.4318305
QQQ-SPY,0,10,267.874199
QQQ-SPY,0,10,248.8292885
QQQ-SPY,0,10,243.4394166
QQQ-SPY,0,10,257.9119001
QQQ-SPY,0,10,249.3456034
QQQ-SPY,0,10,252.7578877
QQQ-SPY,0,10,265.9136562
QQQ-SPY,0,10,226.752775
QQQ-SPY,0,10,169.5412257
QQQ-SPY,0,10,199.14077
QQQ-SPY,0,10,240.443188
QQQ-SPY,0,10,265.3861989
QQQ-SPY,0,10,262.1682329
QQQ-SPY,0,10,305.6949224
QQQ-SPY,0,10,258.4070543
QQQ-SPY,0,10,236.6114887
QQQ-SPY,0,10,273.2271295
QQQ-SPY,0,10,262.8002993
QQQ-SPY,0,10,250.9265603
QQQ-SPY,0,10,248.5757561
QQQ-SPY,0,10,264.3571111
QQQ-SPY,0,10,272.837447
QQQ-SPY,0,10,279.5420248
QQQ-SPY,0,10,294.7127583
QQQ-SPY,0,10,312.6025627
QQQ-SPY,0,10,349.5985916
QQQ-SPY,0,10,360.621505
QQQ-SPY,0,10,344.4320547
QQQ-SPY,0,10,342.6599032
QQQ-SPY,0,10,358.3430005
QQQ-SPY,0,10,314.9272625
QQQ-SPY,0,10,285.928351
QQQ-SPY,0,10,287.9574779
QQQ-SPY,0,10,256.285296
QQQ-SPY,0,10,279.9049703
QQQ-SPY,0,10,234.9839126
QQQ-SPY,0,10,261.5547056
QQQ-SPY,0,10,238.3266077
QQQ-SPY,0,10,199.4579481
QQQ-SPY,0,10,229.7984898
QQQ-SPY,0,10,246.1732729
QQQ-SPY,0,10,223.3351417
QQQ-SPY,0,10,226.9329331
QQQ-SPY,0,10,214.6977849
QQQ-SPY,0,10,214.4268788
QQQ-SPY,0,10,213.4283689
QQQ-SPY,0,10,207.6124428
QQQ-SPY,0,10,231.9756468
QQQ-SPY,0,10,225.9958519
QQQ-SPY,0,10,230.6136353
QQQ-SPY,0,10,205.2704279
QQQ-SPY,0,10,185.4263398
